dig,dump,it
0,0,0
5,0,1
12,0,2
21,0,3
30,0,4
39,0,5
48,0,6
57,0,7
66,0,8
75,0,9
84,0,10
93,0,11
102,0,12
111,0,13
120,0,14
129,0,15
138,0,16
147,0,17
156,0,18
165,0,19
174,0,20
183,0,21
192,0,22
201,0,23
210,0,24
219,0,25
219,0,26
232,0,27
245,0,28
258,0,29
271,0,30
284,0,31
297,0,32
310,0,33
323,0,34
336,0,35
349,0,36
362,0,37
362,0,38
371,0,39
380,0,40
389,0,41
398,0,42
407,0,43
416,0,44
425,0,45
434,0,46
443,0,47
452,0,48
461,0,49
461,0,50
468,0,51
476,0,52
485,0,53
494,0,54
503,0,55
503,0,56
503,0,57
503,0,58
503,0,59
503,0,60
503,0,61
503,0,62
503,0,63
503,0,64
503,0,65
503,0,66
503,0,67
503,0,68
503,0,69
503,0,70
503,0,71
503,0,72
503,0,73
503,0,74
503,0,75
503,0,76
503,0,77
503,0,78
503,0,79
503,0,80
503,0,81
503,0,82
503,0,83
503,0,84
503,0,85
503,0,86
503,0,87
503,0,88
503,0,89
503,0,90
503,0,91
503,0,92
503,0,93
503,0,94
503,0,95
503,0,96
503,0,97
503,0,98
503,0,99
503,0,100
503,0,101
503,0,102
503,0,103
503,0,104
503,0,105
503,0,106
503,0,107
503,0,108
503,0,109
503,0,110
503,0,111
503,0,112
503,0,113
503,0,114
503,2,115
503,6,116
503,12,117
503,21,118
503,30,119
503,39,120
503,48,121
503,57,122
503,66,123
503,75,124
503,84,125
503,93,126
503,102,127
503,111,128
503,120,129
503,129,130
503,138,131
503,147,132
503,156,133
503,165,134
503,174,135
503,183,136
503,192,137
503,201,138
503,210,139
503,219,140
503,228,141
503,237,142
503,246,143
503,255,144
503,264,145
503,273,146
503,282,147
503,291,148
503,300,149
503,309,150
503,318,151
503,327,152
503,336,153
503,345,154
503,354,155
503,363,156
503,372,157
503,381,158
503,390,159
503,399,160
503,408,161
503,417,162
503,426,163
503,435,164
503,444,165
503,453,166
503,462,167
503,471,168
503,480,169
503,489,170
503,498,171
503,507,172
503,507,173
503,507,174
503,507,175
503,507,176
503,507,177
503,507,178
503,507,179
503,507,180
503,507,181
503,507,182
503,507,183
503,507,184
503,507,185
503,507,186
503,507,187
503,507,188
503,507,189
503,507,190
503,507,191
503,507,192
503,507,193
503,507,194
503,507,195
503,507,196
503,507,197
503,507,198
503,507,199
503,507,200
503,507,201
503,507,202
503,507,203
503,507,204
503,507,205
503,507,206
503,507,207
503,507,208
503,507,209
503,507,210
503,507,211
503,507,212
503,507,213
503,507,214
503,507,215
503,507,216
503,507,217
503,507,218
503,507,219
503,507,220
503,507,221
503,507,222
503,507,223
503,507,224
503,507,225
503,507,226
503,507,227
503,507,228
503,507,229
503,507,230
503,507,231
503,507,232
503,507,233
503,507,234
503,507,235
