dig,dump,it
0,0,0
5,0,1
12,0,2
21,0,3
30,0,4
39,0,5
48,0,6
57,0,7
66,0,8
75,0,9
84,0,10
93,0,11
102,0,12
111,0,13
120,0,14
129,0,15
138,0,16
147,0,17
156,0,18
165,0,19
174,0,20
183,0,21
192,0,22
201,0,23
210,0,24
219,0,25
219,0,26
232,0,27
245,0,28
258,0,29
271,0,30
284,0,31
297,0,32
310,0,33
323,0,34
336,0,35
349,0,36
362,0,37
362,0,38
371,0,39
380,0,40
389,0,41
398,0,42
407,0,43
416,0,44
425,0,45
434,0,46
443,0,47
452,0,48
461,0,49
461,0,50
470,0,51
479,0,52
488,0,53
497,0,54
506,0,55
506,0,56
506,0,57
506,0,58
506,0,59
506,0,60
506,0,61
506,0,62
506,0,63
506,0,64
506,0,65
506,0,66
506,0,67
506,0,68
506,0,69
506,0,70
506,0,71
506,0,72
506,0,73
506,0,74
506,0,75
506,0,76
506,0,77
506,0,78
506,0,79
506,0,80
506,0,81
506,0,82
506,0,83
506,0,84
506,0,85
506,0,86
506,0,87
506,0,88
506,0,89
506,0,90
506,0,91
506,0,92
506,0,93
506,0,94
506,0,95
506,0,96
506,0,97
506,0,98
506,0,99
506,0,100
506,0,101
506,0,102
506,0,103
506,0,104
506,0,105
506,0,106
506,0,107
506,0,108
506,0,109
506,0,110
506,0,111
506,0,112
506,0,113
506,0,114
506,0,115
506,0,116
506,0,117
506,0,118
506,0,119
506,2,120
506,6,121
506,12,122
506,21,123
506,30,124
506,39,125
506,48,126
506,57,127
506,66,128
506,75,129
506,84,130
506,93,131
506,102,132
506,111,133
506,120,134
506,129,135
506,138,136
506,147,137
506,156,138
506,165,139
506,174,140
506,183,141
506,192,142
506,201,143
506,210,144
506,219,145
506,228,146
506,237,147
506,246,148
506,255,149
506,264,150
506,273,151
506,282,152
506,291,153
506,300,154
506,309,155
506,318,156
506,327,157
506,336,158
506,345,159
506,354,160
506,363,161
506,372,162
506,381,163
506,390,164
506,399,165
506,408,166
506,417,167
506,426,168
506,435,169
506,444,170
506,453,171
506,462,172
506,471,173
506,480,174
506,489,175
506,498,176
506,507,177
506,507,178
506,507,179
506,507,180
506,507,181
506,507,182
506,507,183
506,507,184
506,507,185
506,507,186
506,507,187
506,507,188
506,507,189
506,507,190
506,507,191
506,507,192
506,507,193
506,507,194
506,507,195
506,507,196
506,507,197
506,507,198
506,507,199
506,507,200
506,507,201
506,507,202
506,507,203
506,507,204
506,507,205
506,507,206
506,507,207
506,507,208
506,507,209
506,507,210
506,507,211
506,507,212
506,507,213
506,507,214
506,507,215
506,507,216
506,507,217
506,507,218
506,507,219
506,507,220
506,507,221
506,507,222
506,507,223
506,507,224
506,507,225
506,507,226
506,507,227
506,507,228
506,507,229
506,507,230
506,507,231
506,507,232
506,507,233
506,507,234
506,507,235
